Time Step,Rational Avg,Biased Avg
1,0.5001799572475832,0.668529195624962
2,0.5000538875794374,0.7355976565139813
3,0.5000993987490525,0.8019331213405186
4,0.49997685112430323,0.8695464281232527
5,0.49998481175341697,0.9334418160398624
6,0.5000526340767375,0.9792789320038997
7,0.5000244666466246,0.9978297151537568
8,0.49960393788148205,1
9,0.49962592831867436,1
10,0.4994458659367537,1
11,0.49967507897079155,1
12,0.4994255964725772,1
13,0.4993505981670464,1
14,0.49949764892942283,1
15,0.4994050765795778,1
16,0.4992877311210779,1
17,0.4993536053310725,1
18,0.49928694747018604,1
19,0.499298559579944,1
20,0.4994620796807614,1
